"PNuid_NLidu","Name_en","Nom_fr","Province","Latitude","Longitude"
50762,"Fort Resolution (Deninu K'ue First Nation)","Fort Resolution (Deninu K'ue First Nation)","NT",61.172410358,-113.673771235
50763,"Yellowknives Dene First Nation","Yellowknives Dene First Nation","NT",62.455058872,-114.375646623
50764,"Lutselk'e (Lutsel K'e Dene First Nation)","Lutselk'e (Lutsel K'e Dene First Nation)","NT",62.404721438,-110.738708026
50765,"Rae (Dog Rib Rae)","Rae (Dog Rib Rae)","NT",62.830024155,-116.050007707
50766,"Nahanni Butte","Nahanni Butte","NT",61.031235285,-123.382623476
50767,"Trout Lake (Sambaa K'e First Nation)","Trout Lake (Sambaa K'e First Nation)","NT",60.44181228,-121.241394717
50768,"Kakisa (Ka'a'gee Tu First Nation)","Kakisa (Ka'a'gee Tu First Nation)","NT",60.940002441,-117.416687012
50769,"Whatì (Wha Ti First Nation)","Whatì (Wha Ti First Nation)","NT",63.144479864,-117.268792135
50770,"Jean Marie River First Nation","Jean Marie River First Nation","NT",61.525364536,-120.625134537
50771,"Colville Lake (Behdzi Ahda First Nation)","Colville Lake (Behdzi Ahda First Nation)","NT",67.039411657,-126.087111275
50772,"West Point First Nation","West Point First Nation","NT",60.854717088,-115.744969314
50773,"Gameti First Nation","Gameti First Nation","NT",64.112873526,-117.352388627
50774,"Wekweètì (Dechi Laot'i First Nations)","Wekweètì (Dechi Laot'i First Nations)","NT",64.189867359,-114.18502039
50780,"Inuvik (Inuvik Native)","Inuvik (Inuvik Native)","NT",68.361004164,-133.72981293
51005,"Tabusintac NO.9 (Esgenoopetitj First Nation)","Tabusintac NO.9 (Esgenoopetitj First Nation)","NB",47.345916,-65.101352
51087,"Lac John (La Nation Innu Matimekush-Lac John)","Lac John (La Nation Innu Matimekush-Lac John)","QC",54.81278889,-66.78307778
51141,"Christian Island No.30A (Beausoleil)","Christian Island No.30A (Beausoleil)","ON",44.809739,-80.118173
51151,"Northwest Angle #33B (Angle Inlet)","Northwest Angle #33B (Angle Inlet)","ON",49.37439,-95.0175
51200,"Mississagi First Nation (Mississauga)","Mississagi First Nation (Mississauga)","ON",46.30971,-82.966792
51305,"Fox Lake No.2 (Fox Lake Cree Nation)","Fox Lake No.2 (Fox Lake Cree Nation)","MB",56.503037,-94.207533
51324,"Wuskwi Sipihk First Nation No.2","Wuskwi Sipihk First Nation No.2","MB",52.48100833,-101.09425833
51355,"Kinoosao (Peter Ballantyne Cree Nation)","Kinoosao (Peter Ballantyne Cree Nation)","SK",57.0834553,-102.0170078
51400,"La Plonge No.192 (English River First Nation)","La Plonge No.192 (English River First Nation)","SK",55.158936,-107.58535
51401,"Clearwater River Dene Band 223","Clearwater River Dene Band 223","SK",56.056517,-108.715465
51635,"Tsatsisnukwomi (Da'naxda'xw First Nation)","Tsatsisnukwomi (Da'naxda'xw First Nation)","BC",50.59666944,-126.59771111
51637,"Nenagwas (Tlowitsis Nation)","Nenagwas (Tlowitsis Natiion)","BC",49.908593,-125.208974
52635,"Keogh No.2 (Da'naxda'xw First Nation)","Keogh No.2 (Da'naxda'xw First Nation)","BC",50.6664693,-125.7276757
100069,"Amulree","Amulree","ON",43.425,-80.8383334
100070,"Donegal","Donegal","ON",43.6299,-80.96219
100071,"Britton","Britton","ON",43.6777778,-80.9247222
100072,"Lisbon","Lisbon","ON",43.46096,-80.78851
100073,"Ashton","Ashton","ON",45.1572222,-76.0319445
100074,"Mallorytown Landing","Mallorytown Landing","ON",44.4544444,-75.8586111
100075,"Dwyer Hill","Dwyer Hill","ON",45.12569,-75.94697
100076,"Douro","Douro","ON",44.3766667,-78.1936111
100077,"Fife's Bay","Fife's Bay","ON",44.3463889,-78.4208333
100078,"Thomstown","Thomstown","ON",44.08024,-78.40399
100079,"South Monaghan","South Monaghan","ON",44.15598,-78.36464
100080,"Stewart Heights","Stewart Heights","ON",44.34083,-78.43517
100081,"Bailieboro","Bailieboro","ON",44.1333333,-78.3533333
100082,"Fairbairn Meadows","Fairbairn Meadows","ON",44.3263889,-78.3572222
100083,"Sylvan Valley","Sylvan Valley","ON",46.47095,-83.98941
100084,"Wharncliffe","Wharncliffe","ON",46.40958,-83.41128
100085,"Turtle Lake Lodge","Turtle Lake Lodge","SK",53.60981,-108.590666
100086,"Waterpark Estates","Waterpark Estates","SK",51.964858,-106.483115
100087,"St-Denis","St-Denis","SK",52.155357,-106.101215
100088,"Domremy Beach","Domremy Beach","SK",52.7000296,-105.5630383
100089,"Berard Beach","Berard Beach","SK",52.694343,-105.557198
100090,"Nikorick Beach","Nikorick Beach","SK",52.651446,-105.609172
100091,"Bayview Heights","Bayview Heights","SK",53.1336403,-108.3981
100092,"Mowery Beach","Mowery Beach","SK",53.63359,-108.840641
100093,"Pleasant Corners","Pleasant Corners","ON",45.55134,-74.63486
100094,"Casselman Zoning","Casselman Zoning","ON",45.319566,-75.11659
100095,"Rural Plevna","Rural Plevna","ON",44.940196,-76.951569
100096,"St. Nora Lake","St. Nora Lake","ON",45.16,-78.844
100097,"The Tannery","The Tannery","ON",45.2092,-76.211
100098,"Lochlin","Lochlin","ON",44.94541,-78.579384
100099,"Irondale","Irondale","ON",44.875686,-78.50447
100100,"East Ferris","East Ferris","ON",46.24705,-79.27924
100101,"Calvin","Calvin","ON",46.25543,-78.91649
100102,"Nipissing Beach","Nipissing Beach","ON",46.1933334,-79.5083334
100103,"Machar","Machar","ON",45.8761111,-79.4730555
100104,"Majestic Subdivision","Majestic Subdivision","BC",49.026575,-116.1936556
100105,"Glenlily","Glenlily","BC",49.05,-116.16667
100106,"Halcyon Hot Springs","Halcyon Hot Springs","BC",50.524723,-117.901389
100107,"St. Leon Hot Springs","St. Leon Hot Springs","BC",50.44242,-117.88455
100108,"Shelter Bay","Shelter Bay","BC",50.65839,-117.94079
100109,"Hall's Landing","Hall's Landing","BC",50.69527,-117.98157
100110,"West Creston","West Creston","BC",49.09008333,-116.6196167
100111,"Arrow Creek","Arrow Creek","BC",49.133333,-116.45
100112,"Emerald Lake","Emerald Lake","BC",51.44008333,-116.53985556
100113,"Brisco","Brisco","BC",50.83842878,-116.32643741
100114,"Woodbury Creek","Woodbury Creek","BC",49.7751128,-116.9059346
100115,"Walkers","Walkers","BC",49.70837778,-116.86431389
100116,"Lemon Creek","Lemon Creek","BC",49.7,-117.48333
100117,"Perrys","Perrys","BC",49.65833333,-117.5111111
100118,"Queens Bay","Queens Bay","BC",49.65673889,-116.932875
100119,"Appledale","Appledale","BC",49.65,-117.53333
100120,"Lebahdo","Lebahdo","BC",49.6,-117.58333
100121,"Vallican","Vallican","BC",49.566667,-117.65
100122,"Passmore","Passmore","BC",49.533333,-117.65
100123,"Slocan Park","Slocan Park","BC",49.516667,-117.61667
100124,"South Slocan","South Slocan","BC",49.45762778,-117.52367222
100125,"Playmor Junction","Playmor Junction","BC",49.45,-117.53333
100126,"Crescent Valley","Crescent Valley","BC",49.44637222,-117.55776111
100128,"Kragmont","Kragmont","BC",49.175,-115.21667
100129,"Sweetwater","Sweetwater","BC",49.17352733,-115.24347351
100130,"Koocanusa Marina","Koocanusa Marina","BC",49.26069302,-115.28458641
100131,"Rosen Lake","Rosen Lake","BC",49.394167,-115.254167
100132,"Tie Lake","Tie Lake","BC",49.42027913,-115.32317803
100133,"Spruceland and Wilks/Kahn","Spruceland and Wilks/Kahn","BC",49.54888977,-115.81790612
100134,"Booth Creek","Booth Creek","BC",49.57624524,-115.85795687
100135,"Clearview","Clearview","BC",49.610329382,-115.80778883
100136,"St. Marys Lake","St. Marys Lake","BC",49.62398834,-116.10865758
100137,"Meadowbrook","Meadowbrook","BC",49.70805423,-115.90583966
100138,"Lazy Lake","Lazy Lake","BC",49.81821791,-115.62731908
100139,"North Premier Lake","North Premier Lake","BC",49.9749634,-115.6741719
100140,"Grainger Road, Columbia Lake","Grainger Road, Columbia Lake","BC",50.18045893,-115.81673668
100141,"Edwards Lake","Edwards Lake","BC",49.09270519,-115.12525847
100142,"Moberly School Rd.","Moberly School Rd.","BC",51.41655396,-117.01264248
100143,"Upper Donald","Upper Donald","BC",51.33664627,-116.95582257
100144,"Norbury Lake","Norbury Lake","BC",49.53023111,-115.47897146
100145,"Lewis Bay","Lewis Bay","BC",49.46982,-116.7706
100146,"Calder Road-Selkirk View","Calder Road-Selkirk View","BC",49.87967,-118.171649
100147,"Whatshan Campground","Whatshan Campground","BC",49.91492,-118.118202
100148,"Red Mountain Rd","Red Mountain Rd","BC",49.90469722,-117.36173333
100149,"Pass Creek","Pass Creek","BC",49.38848056,-114.679275
100150,"Erris","Erris","BC",49.618459,-120.368922
100151,"East Princeton","East Princeton","BC",49.461848,-120.449402
100152,"Ashnola / Riverside","Ashnola / Riverside","BC",49.22308,-119.970223
100153,"Twin Lakes","Twin Lakes","BC",49.342021,-119.718643
100154,"Nursery","Nursery","BC",49.016667,-118.4
100156,"Badger","Badger","MB",49.191436,-95.9605629
100157,"Balaton Beach","Balaton Beach","MB",50.948605,-96.955001
100158,"Balmy Beach","Balmy Beach","MB",49.340755484908,-99.586429290102
100159,"Balsam Harbour","Balsam Harbour","MB",50.4752248,-96.5805002
100160,"Barnsley","Barnsley","MB",49.591096620229,-97.989915937668
100161,"Barren Lake","Barren Lake","MB",49.711981,-95.293764
100162,"Bay Shore Heights","Bay Shore Heights","MB",50.787457,-96.994646
100163,"Beaconia","Beaconia","MB",50.445256,-96.556232
100164,"Beaver Creek","Beaver Creek","MB",51.484679105325,-96.817716903986
100165,"Belair","Belair","MB",50.606659,-96.552413
100166,"Benyk'S Point","Benyk'S Point","MB",51.55836,-99.5617
100167,"Bird Lake","Bird Lake","MB",50.471097378994,-95.284323394244
100169,"Booster Lake","Booster Lake","MB",50.452489,-95.258908
100170,"Boulder Bay","Boulder Bay","MB",50.4699132,-96.5761928
100171,"Brewster Bay","Brewster Bay","MB",50.772773,-96.986991
100172,"Bristol","Bristol","MB",49.473750970535,-96.75988796221
100173,"Broomhill","Broomhill","MB",49.392739,-101.088109
100174,"Camp Morton","Camp Morton","MB",50.713732,-96.994565
100175,"Carey","Carey","MB",49.443348,-97.052518
100176,"Cartier","Cartier","MB",49.894195,-97.688404
100177,"Easterville Chemawawin Indian Reserve","Easterville Chemawawin Indian Reserve","MB",53.3147995,-100.3813877
100178,"Cherry Point","Cherry Point","MB",49.70236,-100.72368
100179,"Childs Lake","Childs Lake","MB",51.586449984029,-101.08968496579
100180,"Chimo Resort","Chimo Resort","MB",50.026327,-100.183296
100181,"Onanole North","Onanole North","MB",50.639931067568,-99.974768175546
100182,"Cold Lake","Cold Lake","MB",55.127544,-101.112877
100183,"Cooks Creek","Cooks Creek","MB",50.01850282564,-96.770921903064
100184,"Cordova","Cordova","MB",50.1373,-99.711283
100185,"Crawford Park","Crawford Park","MB",50.682979,-100.090014
100186,"Crescent Cove Beach","Crescent Cove Beach","MB",51.120278,-99.777222
100187,"Crossing Bay","Crossing Bay","MB",53.843935885246,-100.43131295001
100188,"Decker","Decker","MB",50.269780065788,-100.77321522572
100189,"Deerhorn","Deerhorn","MB",50.772087608799,-98.040392039313
100190,"Ditch Lake","Ditch Lake","MB",50.56508157036,-99.942437682746
100191,"Dorothy Lake","Dorothy Lake","MB",50.164684,-95.735955
100192,"Eleanor Lake","Eleanor Lake","MB",50.111344,-95.840794
100193,"Elm Bay","Elm Bay","MB",51.303345306127,-98.648101971671
100195,"Fort Island","Fort Island","MB",53.978629,-97.8067383
100196,"Friedensfeld","Friedensfeld","MB",49.458383537989,-96.600301882915
100197,"Friedensfeld West","Friedensfeld West","MB",49.0597,-97.935931
100198,"Frog Bay","Frog Bay","MB",51.459697,-96.840769
100199,"Gimli Industrial Park","Gimli Industrial Park","MB",50.628909,-97.039603
100200,"Glad Lake","Glad Lake","MB",51.810317,-100.895683
100201,"Glencairn","Glencairn","MB",50.654182,-99.30689
100202,"Glenlea","Glenlea","MB",49.635108,-97.136193
100203,"Grindstone Point","Grindstone Point","MB",51.243734,-96.742177
100204,"Gull Lake","Gull Lake","MB",50.4061158,-96.5194683
100205,"Halbstadt","Halbstadt","MB",49.015791659441,-97.391633610452
100206,"Horod","Horod","MB",50.653404,-100.29928
100207,"Hunt Lake","Hunt Lake","MB",49.739892,-95.180508
100208,"Husavik","Husavik","MB",50.556064441218,-96.98899588713
100209,"Isabella","Isabella","MB",50.26713,-100.8721319
100210,"Island Beach","Island Beach","MB",50.460198,-96.571356
100211,"Jack River","Jack River","MB",53.98329,-97.800308
100212,"Jessica Lake","Jessica Lake","MB",50.013980965797,-95.51670695242
100213,"Keeseekoowenin Reserve","Keeseekoowenin Reserve","MB",50.5669854,-100.2982916
100214,"Kilman","Kilman","MB",50.999451,-101.411508
100215,"Kings Park","Kings Park","MB",50.661386,-96.984627
100216,"Koostatak","Koostatak","MB",51.445199012028,-97.361253283051
100217,"Laguna Beach","Laguna Beach","MB",51.131111,-99.795833
100218,"Lake Audy","Lake Audy","MB",50.712261,-100.230272
100219,"Lake Irwin","Lake Irwin","MB",50.205239,-99.442922
100220,"Lake Metigoshe","Lake Metigoshe","MB",49.001187026778,-100.35539900886
100222,"Laurentia Beach","Laurentia Beach","MB",50.4180909,-97.957785
100223,"Leaside Beach","Leaside Beach","MB",51.675123,-96.85014
100224,"Limestone","Limestone","MB",56.507409,-94.141281
100225,"Little Indian Bay","Little Indian Bay","MB",49.772181,-95.155513
100226,"Liz Lake","Liz Lake","MB",55.485219,-98.040478
100227,"Loch Woods","Loch Woods","MB",50.748333,-96.986389
100228,"Loni Beach","Loni Beach","MB",50.644154,-96.980994
100229,"Manhattan Beach","Manhattan Beach","MB",49.384463570558,-99.586348029339
100230,"Manipogo","Manipogo","MB",51.516667,-99.549722
100231,"Manson","Manson","MB",50.136711423735,-101.37149623597
100232,"Marquette","Marquette","MB",50.064018563763,-97.73707018422
100233,"Mather","Mather","MB",49.08643717718,-99.189485014676
100234,"Mcdougalls Landing","Mcdougalls Landing","MB",49.796317,-95.175845
100235,"Mcmunn","Mcmunn","MB",49.630556,-95.7025
100236,"Meadows","Meadows","MB",50.030692873372,-97.596248018917
100237,"Menisino","Menisino","MB",49.156844788036,-96.13546982249
100238,"Mission Island","Mission Island","MB",53.950646854582,-97.84941232013
100239,"Moonlight Bay","Moonlight Bay","MB",49.765281,-95.2198
100240,"Moose Lake Silver Birch","Moose Lake Silver Birch","MB",49.195063,-95.331656
100241,"Mowbray","Mowbray","MB",49.000759,-98.485612
100242,"National Mills","National Mills","MB",52.830205,-101.580112
100244,"Neuhorst","Neuhorst","MB",49.007637,-97.740745
100245,"Noble Lake","Noble Lake","MB",49.504167,-99.700278
100246,"Oako Beach","Oako Beach","MB",51.149722,-99.847222
100247,"Overflowing River","Overflowing River","MB",53.124707320777,-101.11450667289
100248,"Patricia Beach","Patricia Beach","MB",50.415456803468,-96.608188886871
100249,"Pebble Beach","Pebble Beach","MB",51.023255688174,-98.375637019578
100250,"Pelican Beach","Pelican Beach","MB",50.653333,-96.9813889
100251,"Penniac Bay","Penniac Bay","MB",49.759853,-95.225583
100252,"Peonan Point","Peonan Point","MB",51.42111493982,-98.900703968735
100253,"Pleasant Valley","Pleasant Valley","MB",49.278611,-99.466389
