Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2010,1071,"Howmet Georgetown Casting, a div. of Alcoa Inc.",Howmet Georgetown Casting,Georgetown,331529,760,0,0,0,0,0,0,,760,0,,
2010,1072,Imperial Oil,Nanticoke Refinery,Nanticoke,324110,1058076,0,4867,4387,0,1,0,,1067330,1067330,,
2010,1073,Imperial Oil,Sarnia Chemical Plant,Sarnia,325110,253500,0,1077,1398,0,0,0,,255975,255975,,
2010,1074,Imperial Oil,Sarnia Refinery Plant,Sarnia,324110,1270430,0,12042,5321,0,0,0,,1287792,1287792,,
2010,1075,Canada Starch Operating Company Inc.,Casco Inc. - Cardinal Plant,Cardinal,311221,26253,2742,11,143,0,0,0,,29149,26407,,
2010,1076,Canada Starch Operating Company Inc.,London Plant,London,311221,121132,2414,72,702,0,0,0,,124320,121906,,
2010,1077,Canada Starch Operating Company Inc.,Port Colborne,Port Colborne,311221,76449,0,32,416,0,0,0,,76897,76897,,
2010,1078,Innophos Canada Inc.,Port Maitland Plant,Lowbanks,325189,32760,0,8,102,0,0,0,,32870,32870,,
2010,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol,Aylmer,325190,62210,104,26,339,0,0,0,,62679,62575,,
2010,1080,Interlake Paper,Interlake Paper,St. Catharines,322121,29137,0,12.054,158.72,0,0,0,,29308,29308,,
2010,1081,INVISTA (Canada) Company,Kingston Site,Kingston,325220,85494,0,35,465,0,0,0,,85995,85995,,
2010,1082,INVISTA (Canada) Company,INVISTA (Canada) Company - Maitland Site,Maitland,325190,222576,0,75,989,0,0,0,,223640,223640,,
2010,1083,Irving Tissue,Weston Plant,Toronto,322121,51057,0,21,278,0,0,0,,51357,51357,,
2010,1084,Ivaco Rolling Mills 2004 Limited Partnership,Ivaco Rolling Mills,L'Orignal,331110,72580,0,22,289,0,0,0,,72891,72891,,
2010,1085,Jungbunzlauer Canada Inc.,Jungbunzlauer Canada Inc.,Port Colborne,325190,63134,0,26,344,0,0,0,,63504,63504,,
2010,1086,Labatt Breweries of Canada,London Brewery,London,312120,26439,0,11,144,0,0,0,,26594,26594,,
2010,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,731013,0,0,0,0,0,0,,731013,731013,,
2010,1088,Liberty Mines Inc.,McWatters,South Porcupine,212232,0,0,0,11826,0,0,0,,11827,11827,,
2010,1089,Liberty Mines,Redstone Mines,South Porcupine,212232,0,0,0,11826,0,0,0,,11827,11827,,
2010,1090,London Health Science Centre,London Health Science Centre,London,622111,36876,0,15,216,0,0,0,,37108,37108,,
2010,1091,Rothsay,Moorefield Site,Moorefield,311614,26262,0,11,143,0,0,0,,26416,26416,,
2010,1094,New Forest Paper Mills LP,New Forest Paper Mills LP,Scarborough,322130,52533,0,22,286,0,0,0,,52842,52842,,
2010,1095,Northland Power Inc.,Cochrane Generating Station,Cochrane,221112,112948,161123,659,1147,0,0,0,,275878,114755,,
2010,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,321048,0,1788,2640,0,0,0,,325477,325477,,
2010,1097,Kingston Cogen Limited Partnership,NPIF Kingston CoGen Corp (formerly AES Kingston ULC),Bath,221112,331997,0,1820,2688,0,0,0,,336505,336505,,
2010,1098,Northland Power Inc.,Kirkland Lake Generating Station,Kirkland Lake,221112,321527,151200,1798,2819,0,0,0,,477345,326145,,
2010,1099,Northland Power Inc.,Thorold Cogen Generating Station,Thorold,221112,305456,259601,1783,2632,0,0,0,,569472,309871,,
2010,1100,NOVA Chemicals (Canada) Ltd.,NOVA Chemicals - Corunna Site,Corunna,325110,1451871,0,919,6984,0,0,0,,1459775,1459775,,
2010,1101,NOVA Chemicals (Canada),Moore Site,Mooretown,325210,56229,0,39,269,0,0,0,,56538,56538,,
2010,1102,NOVA Chemicals  (Canada) Ltd.,St. Clair River Site,Corunna,325210,72421,0,88,372,0,0,0,,72881,72881,,
2010,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,60389,0,208,10540,0,0,0,,71137,71137,,
2010,1104,Ontario Power Generation,Atikokan Generating Station,Atikokan,221112,497708,0,377,3097,0,0,0,,501183,501183,,
2010,1105,Ontario Power Generation,Lambton Generating Station,Courtright,221112,3288363,0,28426,12090,0,4,0,,3328883,3328883,,
2010,1106,Ontario Power Generation,Lennox Generating Station,Greater Napanee,221112,120058,0,470,884,0,0,0,,121412,121412,,
2010,1107,Ontario Power Generation,Nanticoke Generating Station,Nanticoke,221112,8538600,0,11461,43594,0,0,0,,8593656,8593656,,
2010,1108,Ontario Power Generation,Thunder Bay Generating Station,Thunder Bay,221112,264779,0,81,1469,0,0,0,,266330,266330,,
2010,1109,Oxy Vinyls Canada Co.,Niagara PVC Plant,Thorold,325210,28240,0,24,2413,0,0,0,,30678,30678,,
2010,1111,Petro-Canada,Mississauga Lubricant Center,Mississauga,324190,364917,0,623,2039,0,0,0,,367579,343915,,
2010,1113,BP Canada Energy Company,Sarnia Fractionation Plant,Sarnia,211113,138808,0,57,753,0,0,0,,139619,139619,,
2010,1114,Plasco Trail Road,Plasco Trail Road,Ottawa,221119,3108,3920,21,95,0,0,0,,7145,3225,,
2010,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,457270,0,2496,3701,0,0,0,,463467,463467,,
2010,1117,Queen's University,Queen's University,Kingston,611310,41580,0,17,245,0,0,0,,41842,41842,,
2010,1118,Redpath Sugar Ltd (former Tate & Lyle Canada),Toronto Refinery,Toronto,311310,69861,0,29,418,0,0,0,,70310,66110,,
2010,1119,AbiBow Canada Inc.,Fort Frances Division,Fort Frances,322121,145622,944852,6405,15190,0,0,0,,1112069,167217,,
2010,1120,AbiBow Canada Inc.,Thunder Bay,Thunder Bay,322112,42360,956559,6468,14880,0,0,0,,1020267,63708,,
2010,1121,Roxul Inc.,Roxul Inc.,Milton,327990,38336,0,8,84,0,0,0,,38429,38429,,
2010,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,31843,0,4,125,0,0,0,,31973,31973,,
2010,1123,Sanofi Pasteur Limited,Connaught Campus,Toronto,325410,49,0,269,397,0,0,0,,716,716,,
2010,1124,Sault Ste. Marie Waste Water Treatment Plant,West End Water Pollution Control Plant,Sault Ste. Marie,221320,293,0,0,532,0,0,0,,826,826,,
2010,1125,Shell Canada Products,Sarnia Manufacturing Centre,Corunna,324110,759474,0,312,7381,0,0,0,,767168,767168,,
2010,1126,Sonoco Flexible Packaging Canada Corp,Brantford,Brantford,322130,27109,0,11,148,0,0,0,,27268,27268,,
2010,1127,Sonoco Flexible Packaging Canada Corp,Trent Valley Mill,Trenton,322130,40522,0,17,221,0,0,0,,40759,40759,,
2010,1128,"St. Clair Power, LP",St. Clair Energy Center,Corunna,221112,357609,0,1959,2894,0,0,0,,362462,362462,,
2010,1129,St. Marys Cement Inc.,Bowmanville Plant,Bowmanville,327310,1104370,0,335,996,0,0,0,,1105702,1105702,,
2010,1130,St. Marys Cement Inc.,St. Marys Plant,St. Marys,327310,542380,0,156,456,0,0,0,,542993,542993,,
2010,1131,"Strathcona Paper GP INC,",Strathcona Paper LP,Napanee,322130,30592,0,14,166,0,0,0,,30772,30772,,
2010,1132,INEOS NOVA Ltd.,INEOS NOVA Ltd. - Sarnia Site,Sarnia,325110,142383,0,317,549,0,0,0,,143249,143249,,
2010,1133,Suncor Energy Products Inc.,Sarnia Refinery,Sarnia,324110,627996,0,8920,3938,0,0,0,,640854,640854,,
2010,1134,Suncor Energy Products,St. Clair Ethanol Plant,Mooretown,325190,81756,0,44,443,0,0,0,,82245,82245,,
2010,1136,Tenaris Algoma Tubes,Sault Ste. Marie,Sault Ste. Marie,331210,87612,0,35,495,0,0,0,,88142,88142,,
2010,1137,Terra International (Canada) Inc.,Terra Nitrogen,Courtright,325313,715026,0,75,76328,0,0,0,,791430,715737,,
2010,1138,Terrace Bay Pulp Inc.,Terrace Bay Pulp,Terrace Bay,322112,22035,209500,1290,3413,0,0,0,,236238,26738,,
2010,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,32781,0,14,188,0,0,0,,32983,32983,,
2010,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada (Cambridge),Cambridge,336110,57223,0,24,313,0,0,0,,57561,57561,,
2010,1141,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada (Woodstock),Woodstock,336110,35915,0,15,196,0,0,0,,36126,36126,,
2010,1142,TransAlta Cogeneration LP,Mississauga Cogeneration Plant,Mississauga,221112,371977,0,502,2863,0,0,0,,375342,375342,,
2010,1143,TransAlta Cogeneration LP,Ottawa Health Sciences Center Cogeneration Plant,Ottawa,221112,225978,0,323,1774,0,0,0,,228076,228076,,
2010,1144,TransAlta Energy Corporation,Sarnia Regional Cogeneration Plant,Sarnia,221112,1225333,0,1750,9615,0,0,0,,1236698,1236698,,
2010,1145,TransAlta Cogeneration LP,Windsor Essex Cogeneration Plant,Windsor,221112,207058,0,287,1608,0,0,0,,208953,208953,,
2010,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,397033,0,2175,3211,0,0,0,,402419,402419,,
2010,1147,TransCanada PipeLines Ltd.,"TransCanada Pipeline System, Ontario",Kenora,486210,525343,0,11156,4335,0,0,0,,540834,540834,,
2010,1148,U.S. Steel Canada Inc.,Hamilton Steel (formerly Stelco Hamilton),Hamilton,331110,2592777.36,0,18243.0234,816.602,0,0,0,,2611837,2611837,,
2010,1149,U.S. Steel Canada Inc.,Lake Erie Steel (formerly Stelco Lake Erie),Haldimand County,331110,1714842,0,25998.504,1062.68,0,0,0,,1741904,1741904,,
2010,1150,Union Gas Limited,Natural Gas Distribution System - Union Gas - Union Gas,Chatham,221210,308346,0,6552,2480,0,0,0,,317378,317378,,
2010,1151,University of Guelph,Guelph Campus,Guelph,611310,43630,0,18,251,0,0,0,,43900,43900,,
2010,1152,University of Toronto,St. George Campus,Toronto,611310,84988,0,466,687,0,0,0,,86141,86141,,
2010,1153,University of Western Ontario,University of Western Ontario,London,611310,51016,32,21,295,0,0,0,,51364,51332,,
2010,1154,Vale Inco Ltd.,Copper Cliff Nickel Refinery,Copper Cliff,331410,50966,0,19,240,0,0,0,,51225,51225,,
2010,1155,Vale Inco Ltd.,Copper Cliff Smelter,Copper Cliff,331410,196772,0,82,1081,0,0,0,,197936,197936,,
2010,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,189252,0,294,1516,0,0,0,,191063,191063,,
2010,1157,Xstrata Canada,Kidd Metallurgical Site,Timmins,212233,75323,0,30,406,0,0,0,,75759,75759,,
2010,1158,Xstrata Canada Corporation,Xstrata Nickel Sudbury Smelter,Falconbridge,212232,113786,0,12,163,0,0,0,,113962,113962,,
2010,1159,York University,Keele Campus,Toronto,611310,50514,0,206,369,0,650,0,,51739,51739,,
2010,1161,Imperial Oil,Sarnia Cogen Plant,Sarnia,221112,362443,0,622,2806,0,0,0,,365871,365871,,
2010,1165,University of Windsor,University of Windsor,Windsor,611310,27038.3,0,11.13,155,0,0,0,,27205,27205,,
2011,1001,ADM Agri-Industries,ADM AGRI-INDUSTRIES - ADM Windsor,Windsor,311224,68646.396,0,28.3926,373.5934,0,0,0,,69049,69049,69049,SGS- United Kingdom Ltd
2011,1002,Air Products Canada Ltd.,Corunna Hydrogen Facility,Corunna,325120,433587.51,0,0.1302,0.186,0,0,0,,433588,433588,433588,Conestoga-Rovers & Associates Limited (CRA)
2011,1003,Algonquin Power Energy From Waste Inc.,Algonquin Power  Energy from Waste Inc.,Brampton,562210,73423.55,79943.44,1041.81,1212.1,0,0,0,,155621,75677,75677,Conestoga-Rovers & Associates Limited (CRA)
2011,1004,Collingwood Ethanol LP,Collingwood Ethanol,Collingwood,325190,26963,0,0,0,0,0,0,,26963,26963,26963,Conestoga-Rovers & Associates Limited (CRA)
2011,1005,ArcelorMittal Dofasco Inc.,Dofasco Hamilton,Hamilton,331110,5212989.417,0,22209.1086,8620.666,0,0,0,,5243820,5243820,5243820,Ernst & Young LLP
2011,1006,Atlantic Packaging Products Ltd.,111 Progress,Scarborough,322130,52033,14012,21.525,283.34,0,0,0,,66350,52338,52338,Ernst & Young LLP
2011,1007,Atlantic Power LP,Kapuskasing Power Plant,Kapuskasing,221112,128327.3749,0,702.987,1046.6676,0,0,0,,130078,130078,130078,Stantec Consulting Ltd.
2011,1008,Atlantic Power LP,Nipigon Power Plant,Nipigon,221112,99908,0,547.3045,814.8741,0,0,0,,101271,101271,101271,Stantec Consulting Ltd.
2011,1009,Atlantic Power LP,North Bay,North Bay,221112,126571.01,0,693.3654,1032.3425,0,0,0,,128297,128297,128297,Stantec Consulting Ltd.
2011,1010,Atlantic Power LP,Tunis Power Plant,Tunis,221112,97309.84,0,533.0705,793.6815,0,0,0,,98637,98637,98637,Stantec Consulting Ltd.
2011,1011,Brampton Brick Limited,Brampton Brick,Brampton,327120,52759,0,11.55,151.9,0,0,0,,52923,52923,52923,Stantec Consulting Ltd.
2011,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,153117.1863,0,838.7883,1238.202,0,0,0,,155195,155195,155195,Conestoga-Rovers & Associates Limited (CRA)
2011,1013,Brock University,University/Power Generation Facility,St. Catharines,221112,26703,0,128.1,341,0,0,0,,27173,27173,27173,Conestoga-Rovers & Associates Limited (CRA)
2011,1014,Lake Superior Power,Lake Superior Power,Sault Ste Marie,221112,263866.851,0,1445.472,2133.73,0,0,0,,267447,267447,267447,Conestoga-Rovers & Associates Limited (CRA)
2011,1015,Bruce Power LP,Bruce Power,Tiverton,221113,46014.53467,0,37.9942,436.3231,0,0,0,,46489,46489,46489,Conestoga-Rovers & Associates Limited (CRA)
2011,1016,Bunge Canada Holdings I ULC,Bunge Canada - Hamilton Plant,Hamilton,311224,51647,0,21.42,282.1,0,0,0,,51951,51951,51951,Conestoga-Rovers & Associates Limited (CRA)
2011,1017,Cabot Canada Limited,Cabot Canada Limited,Sarnia,325189,222781.1371,0,4.2441,55.831,0,0,0,,222842,222842,222842,Conestoga-Rovers & Associates Limited (CRA)
2011,1018,Canadian Gypsum Company,CGC Hagersville Plant,Hagersville,327420,51341.63071,0,21.2447,279.5239,0,0,0,,51643,51643,51643,Stantec Consulting Ltd.
2011,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,549474.5144,0,3010.0466,4443.4098,0,0,0,,556928,556928,556928,Stantec Consulting Ltd.
2011,1020,Carmeuse Lime Canada,Beachville Operation,Ingersoll,327410,493113,0,241.773,14.88,0,0,0,,493370,493370,493370,Stantec Consulting Ltd.
2011,1021,Carmeuse Lime Canada,Dundas Operations,Dundas,327410,430660.24,0,3.276,0.62,0,0,0,,430665,430665,430665,Stantec Consulting Ltd.
2011,1022,Carmeuse Lime Canada,Northern Lime Limited,Blind River,327410,103821.91,0,51.471,1.24,0,0,0,,103875,103875,103875,Stantec Consulting Ltd.
2011,1023,Cascades Canada Inc.,"Norampac Trenton, a Division of Cascades Canada ULC.",Trenton,322121,44244.31,12802.64,104.328,410.13,0,0,0,,57562,44759,44760,Enviro-Access Inc.
2011,1024,CERTAINTEED GYPSUM CANADA INC.,Toronto Board Plant,Mississauga,327420,24952,0,10.332,135.78,0,0,0,,25099,25099,25099,Conestoga-Rovers & Associates Limited (CRA)
2011,1025,Chrysler Canada Inc.,Brampton Assembly Plant,Brampton,336110,79722,0,32.991,434,0,0,0,,80189,80189,80189,Ernst & Young LLP
2011,1026,Chrysler Canada Inc.,Windsor Assembly Plant,Windsor,336110,36547,0,15.12,199.02,0,0,0,,36762,36762,36762,Ernst & Young LLP
2011,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,38.008,71522.243,301.1106,445.687,0,0,0,,72308,786,786,
2011,1028,City of Sault Ste. Marie,East Wastewater Treatment Plant,Sault Ste. Marie,221320,926.68,0,0.3775,1077.9301,0,0,0,,2005,2005,2005,
2011,1029,"Clean Harbors Canada, Inc.","Clean Harbors Canada, Inc",Corunna,562210,68194.55,0,0.5943,13.9987,0,0,0,,68210,68210,68210,Stantec Consulting Ltd.
2011,1030,Columbian Chemicals Canada ULC,Hamilton,Hamilton,325189,237845.1144,0,14.7504,194.06,0,0,0,,238054,238054,238054,Conestoga-Rovers & Associates Limited (CRA)
2011,1031,Descor Industries Inc.,Descor Industries Inc.,Markham,337213,975.5787,0,0.4032,5.301,0,0,0,,982,982,982,
2011,1032,Domtar Inc.,Dryden Mill,Dryden,322112,50118.13,894945.02,6016.92,14501.8,0,0,0,,965582,70637,70637,KPMG Performance Registrar Inc.
2011,1033,Domtar Inc.,Espanola Mill,Espanola,322121,106760,925561,6114.8514,14787.062,0,22.542,0,,1053246,127685,127685,KPMG Performance Registrar Inc.
2011,1035,East Windsor Cogeneration LP,East Windsor Cogeneration Centre,Windsor,221112,139172.8,0,762.3,1125.3,0,0,0,,141061,141061,141061,NSF International
2011,1036,Eastern Power Ltd.,Brock West Landfill Gas Power Plant,Pickering,221119,13413,18208,173.25,25.73,0,0,0,,31820,13612,13612,
2011,1037,Eastern Power Ltd.,Keele Valley Landfill Gas Power Plant,Vaughan,221119,18208,137659,679.35,882.88,0,0,0,,157430,19771,19771,Stantec Consulting Ltd.
2011,1038,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,North York,221210,27664.41,0,587.37,229.4,0,0,0,,28482,28482,28482,Ernst & Young LLP
2011,1039,Enwave Energy Corporation,Pearl Street Steam Plant,Toronto,221330,63718.452,0,25.536,347.51,0,0,0,,64092,64092,64092,SAI Global
2011,1040,Enwave Energy Corporation,Walton Street Steam Plant,Toronto,221330,130357.184,0,52.563,702.46,0,0,0,,131113,131113,131113,SAI Global
2011,1041,Essar Power Canada Ltd.,Essar Power Canada Ltd,Sault Ste. Marie,221119,1425613.058,0,12093.9,3830.98,0,0,0,,1441538,1441538,1441538,Conestoga-Rovers & Associates Limited (CRA)
2011,1042,Essar Steel Algoma Inc.,Essar Steel Algoma Inc,Sault Ste. Marie,331110,2828677.73,0,16580.34,2058.4,0,0,0,,2847317,2847317,2847317,Conestoga-Rovers & Associates Limited (CRA)
2011,1043,Essroc Canada Inc,Picton  Plant,Picton,327310,585176.84,0,2228.31,17102.7437,0,0,0,,604508,604508,604508,Ernst & Young LLP
2011,1044,Fanshawe College of Applied Arts and Technology,Fanshawe College of Applied Arts and Technology,London,611210,3122,0,1.26,18.6,0,0,0,,3142,3142,3142,
